id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33197258,"Location, views, and more... Russian Hill Nest",91333416,Jan,,Russian Hill,37.79942,-122.41894,Entire home/apt,180,30,1,2019-08-10,0.16,28,365
33198942,Petite and Perfect Russian Hill Studio w/ Parking,72356201,Carlos,,Russian Hill,37.80267,-122.42164,Entire home/apt,120,30,3,2020-01-02,0.30,2,330
33199120,"Neighborhoody, Bright Classic 2BR/2BA SF Flat!",34760521,Whei,,Western Addition,37.77076,-122.43153,Entire home/apt,232,2,4,2019-09-02,0.38,2,0
33224082,Warm & cozy sunny room in heart of Mission Dist.,208796981,Clive,,Mission,37.75106,-122.41233,Private room,82,2,39,2020-01-17,3.80,3,41
33224754,Studio 2 in great location,3509116,Monty,,Inner Richmond,37.78057,-122.45066,Entire home/apt,75,30,2,2019-08-03,0.21,2,248
33225891,Large one bedroom apartment or rent,10489933,Michelle,,North Beach,37.79948,-122.40835,Entire home/apt,164,30,0,,,1,365
33241183,Charming bedroom in sunny Bernal Heights apt,1730886,Mohit,,Bernal Heights,37.74698,-122.4151,Private room,99,2,9,2019-11-30,0.94,1,170
33254247,Noe Valley Modern II,3191096,Viona,,Noe Valley,37.75327,-122.43277,Private room,83,1,9,2019-09-22,0.97,3,0
33256694,31A- Cozy Room w/ Private Bath near Glen Park BART,106820066,Zhen,,Outer Mission,37.73195,-122.42887,Private room,84,1,47,2020-01-26,4.72,3,81
33267971,"Serene Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.77539,-122.41978,Entire home/apt,178,30,0,,,237,342
33268331,"Calm Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.77595,-122.41948,Entire home/apt,182,30,0,,,237,342
33269893,"Ideal Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.77447,-122.42034,Entire home/apt,186,30,0,,,237,342
33269979,"Open Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.77592,-122.42015,Entire home/apt,186,30,0,,,237,342
33270662,Studio in Newly Built Complex,48005494,Zeus,,Financial District,37.78832,-122.39448,Entire home/apt,240,30,0,,,281,329
33270720,South Beach Studio near Salesforce Tower,48005494,Zeus,,South of Market,37.78652,-122.39336,Entire home/apt,228,30,0,,,281,323
33270760,Convenient South Beach Studio,48005494,Zeus,,Financial District,37.78712,-122.39525,Entire home/apt,240,30,1,2020-01-09,0.86,281,319
33270860,Studio Walkable to BART and Downtown,48005494,Zeus,,Financial District,37.78797,-122.39445,Entire home/apt,231,30,0,,,281,334
33270882,Studio near Transportation and Tech HQs,48005494,Zeus,,Financial District,37.78793,-122.39528,Entire home/apt,235,30,0,,,281,252
33271309,2BR NoPa Sanctuary ⭐️ Jacuzzi ⭐️ Walk Everywhere,226685582,Dylan & Alex,,Haight Ashbury,37.77487,-122.45034,Entire home/apt,699,2,14,2020-01-15,1.32,3,238
33272418,Comfy Room in Bernal Heights,250553399,Cruz,,Bernal Heights,37.73989,-122.41122,Private room,75,1,48,2020-01-29,5.02,1,24
33275444,Bright Historic Victorian in Valencia with a cat,4464505,Yoriko,,Mission,37.75841,-122.42154,Entire home/apt,200,4,4,2019-08-15,0.40,1,0
33289179,** North Beach House - 3 Bed/2 Bath**,22913583,Trevor,,Russian Hill,37.79817,-122.4093,Entire home/apt,265,30,3,2020-01-17,0.50,2,238
33292153,Lower Nob Hill,122884305,Rick,,Downtown/Civic Center,37.78888,-122.41316,Private room,85,3,35,2019-09-30,3.41,1,0
33293217,Trinity Place - PARADISE,116932500,Joe C,,South of Market,37.77747,-122.41275,Entire home/apt,150,30,0,,,1,179
33310899,Charming 1 BDRM Unit,2792397,Roby,,Mission,37.76355,-122.42572,Entire home/apt,128,30,15,2019-06-15,1.45,1,342
33311422,Recent Rehab in an Historic Mission Building,5298677,Stewart,,Mission,37.75294,-122.40781,Entire home/apt,150,3,9,2020-01-26,0.97,1,10
33316756,Large Room in Stylish Flat -SF Local Neighborhood!,149155201,Esmeralda,,Inner Richmond,37.77852,-122.47584,Private room,89,1,29,2020-02-10,3.72,2,216
33341784,Canterbury Resort San Francisco,7621791,William,,Downtown/Civic Center,37.78857,-122.41258,Entire home/apt,395,2,0,,,1,2
33346622,Lovely Bedroom - Heart of the Mission District!,3191493,Anthony,,Mission,37.75898,-122.41484,Private room,120,1,29,2020-02-02,2.85,2,3
33364533,Potrero Hill Garden View Apartment,22123214,Margot,,Potrero Hill,37.7557,-122.40028,Entire home/apt,205,30,3,2019-08-12,0.33,1,263
33365567,San Francisco - Cole Valley,51004629,Nancy,,Haight Ashbury,37.76463,-122.44865,Private room,120,1,48,2020-01-17,4.60,1,175
33368652,Deluxe Room 2 Queen Beds,251141990,April,,Pacific Heights,37.79487,-122.42372,Hotel room,249,1,2,2019-07-07,0.21,6,0
33370186,Signature Suite 1 Bedroom (Spa) 1 King Bed,251141990,April,,Downtown/Civic Center,37.78726,-122.41213,Hotel room,541,1,0,,,6,0
33370525,Deluxe Room 2 Double Beds 2 Full Beds,251141990,April,,Downtown/Civic Center,37.78742,-122.41195,Hotel room,345,1,1,2019-05-19,0.11,6,0
33370910,Economy Petite 2 Double Beds,251141990,April,,Downtown/Civic Center,37.78499,-122.40889,Hotel room,337,1,1,2019-08-19,0.17,6,0
33371245,2 Double Beds Kitchenette City View,251141990,April,,Presidio Heights,37.78681,-122.44705,Hotel room,554,1,0,,,6,0
33372594,3 Bedroom Home in Russian Hill,48005494,Zeus,,Russian Hill,37.79982,-122.41894,Entire home/apt,341,30,0,,,281,348
33372601,Beautiful 3BR House in San Francisco,48005494,Zeus,,Russian Hill,37.79885,-122.41899,Entire home/apt,360,30,1,2019-08-17,0.17,281,195
33386303,Deluxe Room 1 Queen Bed,251141990,April,,Financial District,37.79404,-122.40186,Hotel room,388,1,0,,,6,0
33396706,"Fun House, Great Views!",6781181,Terri,,Bernal Heights,37.74109,-122.41083,Entire home/apt,400,30,0,,,1,358
33400148,Sonder | Solaire | Bright 1BR + Rooftop,219930816,Sonder (San Francisco),,Financial District,37.78912,-122.39449,Entire home/apt,168,30,0,,,153,36
33400358,Sonder | Solaire | Bright Studio + Rooftop,219930816,Sonder (San Francisco),,South of Market,37.78733,-122.39443,Entire home/apt,154,30,2,2019-08-14,0.23,153,38
33400608,N&J Garden Guest House,8513389,Jorge & Nicolas,,Western Addition,37.77737,-122.44477,Entire home/apt,145,30,2,2019-12-31,0.29,3,58
33400825,Sonder | Hayes Valley | Airy Double Room + Lounge,219930816,Sonder (San Francisco),,Western Addition,37.77418,-122.42376,Private room,309,2,9,2019-11-29,0.95,153,304
33400949,Sonder | Hayes Valley | Serene Guest Room + Lounge,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.7757,-122.42216,Private room,216,2,15,2020-01-23,1.45,153,325
33401021,Sonder | Hayes Valley | Dreamy Guest Room + Lounge,219930816,Sonder (San Francisco),,Western Addition,37.77531,-122.42377,Private room,148,2,18,2020-01-06,1.74,153,270
